"dates","Rt_times","Rt_medians","Rt_lowerbounds","Rt_upperbounds","Rt_mean","Rt_var","Rt_a","Rt_b"
2021-01-16,8,1.54877480608702,0.771006466683865,2.57436861752341,1.57494435611446,0.145908807344517,17,10.7940321408819
2021-01-17,9,1.61098310485283,0.966692146858203,2.42789956123346,1.55518804929171,0.0967443947463899,25,16.0752264083986
2021-01-18,10,1.65726239547446,1.11806526650438,2.33470367750506,1.60623589305712,0.071666492892917,36,22.4126482016796
2021-01-19,11,1.74318477786684,1.25671265639915,2.32618159951714,1.69052406859068,0.0571574325296881,50,29.5766271116641
2021-01-20,12,1.64064242431228,1.22527961282646,2.13560090426993,1.57482938691746,0.0420353830152344,59,37.4643758175515
2021-01-21,13,1.40854000232782,1.06525244017018,1.81219714602854,1.3679337019184,0.0297022636959395,63,46.0548635592852
2021-01-22,14,1.31223111094263,1.01080893654677,1.66084159651047,1.27103452877454,0.0230789824762446,70,55.073248141803
2021-01-23,15,1.15659242455185,0.895538889304699,1.45472191404964,1.09932355902188,0.0172644612488646,70,63.6755206649828
2021-01-24,16,1.03335432062217,0.803847537941051,1.30154465242286,0.98650805767299,0.0139028306836248,70,70.9573525077114
2021-01-25,17,0.940615909524755,0.735440900733455,1.17928463678338,0.901642563877113,0.0117820190289115,69,76.5269994611791
2021-01-26,18,0.825539861890909,0.63944606676582,1.04320212208978,0.798038109212948,0.00995101287119027,64,80.1966713884365
2021-01-27,19,0.82501941508902,0.64178436128624,1.03781934118592,0.805593561673179,0.00983304525165573,66,81.9271691582554
2021-01-28,20,0.866511559359983,0.678360697600841,1.08490231678692,0.856028886513269,0.0104683636363592,70,81.7729414308906
2021-01-29,21,0.851302015231966,0.664158226372384,1.07193893355357,0.837663851255006,0.0104728466820801,67,79.98435159834
2021-01-30,22,1.12914343217058,0.907279317312201,1.38442543179192,1.12361914198014,0.0145117238646459,87,77.4283711887291
2021-01-31,23,1.21915643013351,0.985497397525552,1.48666238152345,1.22630299309155,0.0163458590311445,92,75.0222420709135
2021-02-01,24,1.20371034153026,0.969601047016475,1.47086013967323,1.20855950445664,0.0164114165821626,89,73.6413885057436
2021-02-02,25,1.16551957119756,0.935339149727045,1.42835490164296,1.17043011780338,0.0157460535708189,87,74.3316484056973
2021-02-03,26,1.04909950568854,0.836970932067127,1.29535521542118,1.05391472316248,0.0137127931320821,81,76.8563131530636
2021-02-04,27,0.984232171471248,0.78291455848122,1.21845750509228,0.988551778012129,0.012370058453303,79,79.914883324433
2021-02-05,28,0.88364404389155,0.69421536512599,1.10086618125886,0.887336819718816,0.0107858442688863,73,82.2686474603101
2021-02-06,29,0.60875135969984,0.455933907506158,0.792626728811656,0.612686646445524,0.00736048875946397,51,83.2399405077202
2021-02-07,30,0.5153066465043,0.376217590721533,0.686132032985445,0.519713791335825,0.00628145174196877,43,82.737846708814
2021-02-08,31,0.48095959785011,0.34425497647744,0.648903997353069,0.485213823914805,0.00603672961328275,39,80.3769350290558
2021-02-09,32,0.539205396088858,0.390207073893753,0.722542367740451,0.543065682123388,0.00719317890488148,41,75.4973133999002
2021-02-10,33,0.622305702332827,0.454544578478523,0.827362400463784,0.627232258671061,0.00914930944924653,43,68.5551474841323
2021-02-11,34,0.732304953554099,0.537759977502202,0.970938788041871,0.737837698644214,0.012097877100902,45,60.9890224946327
2021-02-12,35,0.987064992660629,0.748363795828655,1.27522967892552,0.993828272787944,0.0182906414035679,54,54.3353429144415
2021-02-13,36,1.18637574226748,0.908649654348196,1.51562313472809,1.19210013294364,0.0240864868976989,59,49.4924867211549
2021-02-14,37,1.36017691776265,1.05238777359633,1.72287527742128,1.36678293833611,0.0291889937582295,64,46.8252845458491
2021-02-15,38,1.56281601151989,1.2303500643344,1.9542751971762,1.57099171898544,0.0338084243989153,73,46.4674632703629
2021-02-16,39,1.53111984874503,1.2097596603569,1.90866257105083,1.53793818293913,0.0319628899262448,74,48.116368278587
2021-02-17,40,1.434612036869,1.13152115626674,1.78522271648174,1.44195837877587,0.0280978914340804,74,51.3190956751616
2021-02-18,41,1.30702492872284,1.02897763977279,1.63062830868665,1.3129474363563,0.0236141228854053,73,55.6000933309181
2021-02-19,42,1.24125737555847,0.982158573883784,1.54548241305093,1.2467060216234,0.020723678724694,75,60.158528714202
2021-02-20,43,1.11697208088513,0.877791322199343,1.39482623211121,1.12160366399209,0.0174721497094511,72,64.1937988538061
2021-02-21,44,1.01949363136656,0.797458917514973,1.27855314675899,1.02503811540111,0.0152275817105082,69,67.3145700274758
2021-02-22,45,0.901591166354986,0.697056454905034,1.14289308329904,0.906492633685257,0.0130433157924704,63,69.4986342513117
2021-02-23,46,0.815932786691673,0.622928865188657,1.04492682343069,0.820579922556595,0.0116095070569481,58,70.6817196054413
2021-02-24,47,0.730479467414122,0.548900741954541,0.948191191131637,0.735185403307474,0.0103941841776225,52,70.7304576043824
2021-02-25,48,0.642412195223926,0.473155184925592,0.84908632266394,0.647217161040657,0.00930866785656729,45,69.5284406977787
2021-02-26,49,0.545673294967645,0.387949846739251,0.742873295849666,0.55124927962519,0.00821285860235922,37,67.1202691188228
2021-02-27,50,0.513554820510835,0.356412930167075,0.710024128053216,0.518623054449234,0.00815060220018948,33,63.6300290102708
2021-02-28,51,0.501769689677434,0.342415633819533,0.704720369202627,0.50707695662958,0.00857090133149057,30,59.1626174445056
2021-03-01,52,0.550355909193131,0.375312155297356,0.773170833586536,0.55634004674065,0.010317141586913,30,53.9238549799834
2021-03-02,53,0.572046743645766,0.384136526177879,0.809928244407047,0.57869533226596,0.0119602959852289,28,48.3846999255415
2021-03-03,54,0.641909930415833,0.431433859946808,0.912760581333988,0.64917321197883,0.015050923541104,28,43.131785913731
2021-03-04,55,0.742095006527915,0.501839765051471,1.04699492085208,0.750790878416187,0.0194374807969983,29,38.6259354418054
2021-03-05,56,0.6753256885397,0.438244432282923,0.985635611110052,0.685317717666549,0.0195691822561537,24,35.0202532071081
2021-03-06,57,0.670412244835258,0.427841944856112,0.992138947744562,0.680473403034247,0.021047456919864,22,32.3304333452292
2021-03-07,58,0.614403646891096,0.374743745591127,0.940682971715589,0.62592218858993,0.0206199255878531,19,30.3552108334791
2021-03-08,59,0.513624128315347,0.29344902103799,0.821208796837594,0.5240741880758,0.0183102503071539,15,28.621901901092
2021-03-09,60,0.434752592113568,0.23108204617538,0.737324655261493,0.447800913678136,0.0167104715242478,12,26.797622857521
2021-03-10,61,0.35204415335292,0.166975971989352,0.637620509613205,0.364208381774608,0.0147386383727643,9,24.7111281628046
2021-03-11,62,0.434723168742771,0.214470827980098,0.765068562911031,0.448674571480083,0.0201308871092837,10,22.2878688377906
2021-03-12,63,0.798604373844655,0.465469452090149,1.26471127835213,0.817012348602127,0.0417193236105227,16,19.5835473323938
2021-03-13,64,1.04731591498009,0.632100128437572,1.6106531737239,1.0689777239254,0.0634840763471513,18,16.8385173957621
2021-03-14,65,1.55234386197644,0.994716177295066,2.27520949521825,1.57401967387565,0.107719040597722,23,14.6122697077654
2021-03-15,66,1.90487635951011,1.25642334145058,2.73734360545541,1.92798305717713,0.142966102644694,26,13.4855956867526
2021-03-16,67,2.17646295390853,1.48596507710172,3.05950079319643,2.20169238770519,0.1615816456693,30,13.6258816933408
2021-03-17,68,2.18826452460665,1.52230550230835,3.02316179796067,2.21103371470837,0.148141517805367,33,14.925145546391
2021-03-18,69,1.96721045633807,1.37209998610479,2.70578264135735,1.98747433091766,0.116178065178135,34,17.1071391821707
2021-03-19,70,1.49282301636497,1.02028961495813,2.09468253198648,1.50955269375146,0.0759583111737431,30,19.873436763208
2021-03-20,71,1.12102337398995,0.744324092870689,1.61264125730067,1.13634235622182,0.0496643827132212,26,22.8804284709112
2021-03-21,72,0.924428866706419,0.599827462220155,1.3481954250153,0.937131264341701,0.0365922919419448,24,25.6100729035639
2021-03-22,73,0.788898383737833,0.501449745740636,1.17223972593635,0.801952228334755,0.0292330625695945,22,27.4330555146442
2021-03-23,74,0.809125507770841,0.52035085436848,1.18839381565969,0.820554761556662,0.0292743529005787,23,28.0298172377515
2021-03-24,75,0.968471149739196,0.647444111303222,1.38235724834808,0.980149910548177,0.0355812535980592,27,27.5468065746182
2021-03-25,76,0.932445876410923,0.612188106275664,1.35382417578379,0.945961878396499,0.0357937550151773,25,26.4281263029093
2021-03-26,77,1.0927075595785,0.732047133607303,1.55394722662485,1.10622322175017,0.043704636297833,28,25.3113471580364
2021-03-27,78,1.48779673120222,1.05849442652349,2.02200549092865,1.50092823574212,0.0608860964553504,37,24.6514117856578
2021-03-28,79,1.53713403888858,1.1020636986096,2.0836886287229,1.55181163197098,0.0633715616084323,38,24.4875081595668
2021-03-29,80,1.46373819745092,1.03970130295457,1.993686793892,1.47805267047926,0.0590443161273211,37,25.0329374175838
2021-03-30,81,1.37828470998831,0.978263917859514,1.87498545938615,1.39241485697928,0.0524005171334221,37,26.5725403708118
2021-03-31,82,1.16996716641555,0.819368780335436,1.61184263213142,1.18141343501701,0.0410511089540789,34,28.7790869751795
2021-04-01,83,1.24762325518495,0.893638492828564,1.6858349475054,1.25802549318905,0.0405802087567575,39,31.0009615950918
2021-04-02,84,1.08949579582896,0.771044887746576,1.4896384869773,1.09981576853224,0.0335998534642269,36,32.7327549122556
2021-04-03,85,0.994009637359849,0.693269415717836,1.36880519361082,1.00394825810188,0.0296444736748762,34,33.8662871573505
2021-04-04,86,0.970261203039471,0.680915010294873,1.33619314652229,0.98104891729496,0.0283075581801651,34,34.6567835717591
2021-04-05,87,1.0740484012731,0.765316489501005,1.45222854528903,1.08282317664746,0.030855421891708,38,35.0934490686208
2021-04-06,88,0.987277264226678,0.694687041558521,1.35311005081147,0.996874172561772,0.0283930890263062,35,35.1097470105548
2021-04-07,89,0.963138278310214,0.675247067020157,1.32765008245307,0.973023919802152,0.0278463396619749,34,34.9426147785897
2021-04-08,90,0.936947388006816,0.651999976651153,1.29415755702029,0.946017554192955,0.0271196731164006,33,34.8830736319182
2021-04-09,91,0.937644654318847,0.652728105441803,1.29884215451331,0.947440324121646,0.0272013081142948,33,34.8306897646495
